,seed,theta_hat,theta_sd,true,ci_l,ci_u,cover,significant,bias
71,929812,-0.0014377396,0.001525049,-0.001309244880615398,-0.0016103151237566058,-0.0012651640472959693,True,True,-0.00012849470491088947
72,347000,-0.0013266444,0.0013310536,-0.0013253993375543652,-0.001477267333368212,-0.0011760215544454754,True,True,-1.245106352478452e-06
73,653743,-0.0012631703,0.0015067882,-0.0013510793411726438,-0.0014336794054538669,-0.0010926611350446282,True,True,8.790907092339623e-05
74,969576,-0.0013159153,0.0014771613,-0.0013057950730396104,-0.0014830717962168876,-0.001148758720985728,True,True,-1.0120185561697482e-05
75,130140,-0.0015084585,0.0016298905,-0.0013723905832568708,-0.0016928979932054162,-0.0013240190417782188,True,True,-0.0001360679342349467
76,877666,-0.001435311,0.0015503909,-0.00135707569042641,-0.0016107542862037597,-0.001259867804791552,True,True,-7.823535507124591e-05
77,797856,-0.0012720416,0.0015530398,-0.0013396319868491623,-0.0014477845770035488,-0.0010962985898639458,True,True,6.759040341541497e-05
78,723095,-0.0014159644,0.0015810361,-0.001326991546730271,-0.0015948755300682325,-0.0012370533675808172,True,True,-8.897290209425378e-05
79,721695,-0.0014611302,0.0016027135,-0.0013288588949196465,-0.0016424943217234855,-0.0012797661135745997,True,True,-0.00013227132272939615
80,367248,-0.001426714,0.0014286499,-0.0013073049213602353,-0.0015883809594822713,-0.0012650470541404894,True,True,-0.00011940908545114508
81,37581,-0.0013218047,0.0014267773,-0.0013144781571651247,-0.0014832597645036002,-0.0011603496549614648,True,True,-7.326552567407836e-06
82,854434,-0.0010944448,0.0011568104,-0.0013232992802853936,-0.0012253501956117582,-0.0009635393469827939,False,True,0.00022885450898811762
83,848326,-0.0014194592,0.0013575236,-0.0013320938597838929,-0.0015730774944081696,-0.0012658409791633694,True,True,-8.73653770018766e-05
84,880946,-0.0014757793,0.0014873253,-0.0013492755725687438,-0.0016440860409073403,-0.0013074726384349296,True,True,-0.0001265037671023912
85,796192,-0.0012514122,0.0012873815,-0.0013501075195430058,-0.0013970931388035388,-0.0011057312738552718,True,True,9.869531321360044e-05
86,315609,-0.0012880085,0.0015967621,-0.0013327357275226773,-0.0014686991684657623,-0.0011073178853320787,True,True,4.4727200623756805e-05
87,298983,-0.0012345759,0.0012834166,-0.001338330086677014,-0.0013798081380946834,-0.0010893436083869736,True,True,0.00010375421343618556
88,753377,-0.0012815155,0.0013351567,-0.0013718856354737804,-0.0014326026696826354,-0.0011304282549654111,True,True,9.037017314975711e-05
89,57695,-0.0013606871,0.0014816311,-0.0013750242419043968,-0.0015283494172624525,-0.001193024738691074,True,True,1.433716392763352e-05
90,226625,-0.0015261701,0.0016011558,-0.0013243284121342877,-0.001707357901823963,-0.0013449822201158153,False,True,-0.00020184164883560148
91,271325,-0.0014575121,0.0013841098,-0.0013519446834716717,-0.001614138918931957,-0.0013008853727920096,True,True,-0.00010556746239031157
92,152336,-0.001391018,0.0014139784,-0.001317893476294647,-0.0015510247614636762,-0.0012310113232180731,True,True,-7.312456604622762e-05
93,890792,-0.0013442376,0.0014978128,-0.0013118629587906918,-0.0015137310673878045,-0.0011747441186174302,True,True,-3.237463421192554e-05
94,703039,-0.0015660374,0.0016032875,-0.0013338289002448021,-0.0017474664825148543,-0.001384608355989341,False,True,-0.0002322085190072955
95,97420,-0.001404029,0.0015701444,-0.001322281443019086,-0.0015817075371923582,-0.0012263503987160786,True,True,-8.174752493513232e-05
96,549461,-0.0012729955,0.0013859825,-0.0013603626104749307,-0.0014298341747242278,-0.0011161568064373666,True,True,8.736711989413355e-05
97,576667,-0.0012852217,0.0014928711,-0.001343309555395052,-0.00145415592731332,-0.001116287393706091,True,True,5.808789488534645e-05
98,108212,-0.001308389,0.0015033089,-0.0013201297898616123,-0.0014785044228561562,-0.0011382735932342369,True,True,1.1740781816415745e-05
99,877857,-0.0012448925,0.0014479039,-0.0013395311850730378,-0.0014087382357860605,-0.0010810467295055588,True,True,9.463870242722812e-05
